Mach,DeploymentPercentage,Cd_increment,Cm_increment
0.379, 0.994350283, 0.247407779, 0.15
0.329, 0.994350283, 0.235969581, 0.15
0.279, 0.994350283, 0.230593983, 0.15
0.229, 0.994350283, 0.233691843, 0.15
0.179, 0.994350283, 0.199779567, 0.15
0.129, 0.994350283, 0.249280993, 0.15
0.379, 0.623326085, 0.144855061, 0.15
0.329, 0.623326085, 0.156050346, 0.15
0.279, 0.623326085, 0.148976152, 0.15
0.229, 0.623326085, 0.137111066, 0.15
0.179, 0.623326085, 0.142516796, 0.15
0.129, 0.623326085, 0.004980372, 0.15
0.379, 0, 0.006926558, 0.15
0.329, 0, 0.006848817, 0.15
0.279, 0, 0.00701701, 0.15
0.229, 0, 0.0031687, 0.15


